question_id,transcript_id,question,question_type,label,prediction,correct,gold_start,gold_end,pred_start,pred_end,tiou
sample_4_yes_q03,sample_4,Did the patient attend for an annual asthma follow-up?,positive,1,1,1,21.62,26.24,22.66,26.43,0.7442827442827441
sample_4_yes_q07,sample_4,Is the heart examination without abnormal findings?,positive,1,1,1,43.5,44.98,40.980000000000004,44.48,0.24499999999999966
sample_4_yes_q06,sample_4,Was the patient listened to with a stethoscope?,positive,1,1,1,28.520000000000003,42.72,28.37,30.37,0.12891986062717756
sample_4_yes_q05,sample_4,Were the lungs found to be normal on auscultation?,positive,1,1,1,40.68,44.98,33.85,35.85,0.0
sample_4_yes_q02,sample_4,Are the patient's asthma findings stable at this visit?,positive,1,1,1,51.48,54.4,51.42,53.42,0.6510067114093983
sample_4_hard_no_q01,sample_4,Should the asthma medication dose be increased?,hard_negative,0,0,1,,,24.990000000000002,26.990000000000002,
sample_4_yes_q01,sample_4,Will the current treatment continue unchanged?,positive,1,1,1,55.64,61.64,55.57,57.57,0.3179571663920922
sample_4_yes_q04,sample_4,Does the visit concern asthma?,positive,1,1,1,24.88,26.24,24.990000000000002,26.990000000000002,0.5924170616113719
sample_4_off_topic_q01,sample_4,Is there any discussion about cooking?,off_topic,0,0,1,,,0.0,1.5699999999999998,
sample_4_hard_no_q02,sample_4,Has an irregular heart rhythm been found?,hard_negative,0,0,1,,,29.7,31.7,
sample_5_yes_q01,sample_5,Does the patient take pantoprazole for reflux?,positive,1,1,1,47.08,52.84,48.38,52.66,0.7430555555555539
sample_5_hard_no_q02,sample_5,Did the back pain begin after surgery for a lumbar disc prolapse?,hard_negative,0,0,1,,,26.65,32.65,
sample_5_hard_no_q01,sample_5,Have the pains in the hands been attributed to gout?,hard_negative,0,0,1,,,113.69,119.69,
sample_5_yes_q05,sample_5,Is the patient still in pain despite regular Ibumetin and Panodil?,positive,1,1,1,36.42,41.58,36.18,42.18,0.8599999999999994
sample_5_yes_q02,sample_5,Will the NSAID treatment be continued under cover of a proton pump inhibitor?,positive,1,1,1,142.44,147.88,117.83,119.83,0.0
sample_5_yes_q06,sample_5,Did the patient undergo surgery for a cervical disc prolapse in 2017?,positive,1,1,1,32.06,34.98,31.74,35.08,0.8742514970059865
sample_5_off_topic_q02,sample_5,Does the conversation mention the patient owning a digital camera?,off_topic,0,0,1,,,0.0,1.16,
sample_5_yes_q03,sample_5,Was muscle tension found in the neck and shoulders?,positive,1,1,1,102.68,105.42,102.88000000000001,105.64,0.8581081081081072
sample_5_yes_q04,sample_5,Are the menopausal symptoms treated with Activelle?,positive,1,1,1,70.44,73.82,70.09,72.09,0.44235924932976145
sample_5_off_topic_q01,sample_5,Is the patient discussing owning a cat?,off_topic,0,0,1,,,0.0,1.16,
sample_6_yes_q03,sample_6,Was the patient's voice noted to sound congested?,positive,1,1,1,24.4,26.34,24.61,26.61,0.7828054298642533
sample_6_hard_no_q02,sample_6,Should the fungal infection be treated with Brentan gel?,hard_negative,0,0,1,,,34.17,39.11,
sample_6_off_topic_q01,sample_6,Does the patient talk about needing a new vehicle for their daily commute?,off_topic,0,0,1,,,67.2,69.2,
sample_6_yes_q04,sample_6,Are four daily doses of one million IU of penicillin planned?,positive,1,1,1,62.9,69.68,63.580000000000005,68.72,0.7581120943952784
sample_6_yes_q05,sample_6,Does the patient also have a fungal infection in the mouth?,positive,1,1,1,72.96,77.6,33.72,35.72,0.0
sample_6_yes_q07,sample_6,Did the patient ask for penicillin?,positive,1,1,1,17.9,19.18,17.490000000000002,19.490000000000002,0.6400000000000006
sample_6_yes_q01,sample_6,Will the patient take Fluconazole 50 mg?,positive,1,1,1,73.52,77.6,73.39,75.39,0.4441805225653224
sample_6_hard_no_q01,sample_6,Does the patient want to avoid antibiotics?,hard_negative,0,0,1,,,17.14,19.14,
sample_6_yes_q02,sample_6,Is the patient complaining of sinus symptoms?,positive,1,1,1,9.06,12.28,33.239999999999995,35.239999999999995,0.0
sample_6_yes_q06,sample_6,Has penicillin been prescribed for seven days?,positive,1,1,1,64.18,69.68,63.72,69.72,0.9166666666666666
sample_10_hard_no_q01,sample_10,Has the doctor found the condition to be unstable?,hard_negative,0,0,1,,,37.69,39.69,
sample_10_hard_no_q04,sample_10,Did the patient report new breathing symptoms?,hard_negative,0,0,1,,,19.2,21.86,
sample_10_yes_q01,sample_10,Does the patient need continued treatment?,positive,1,1,1,63.18,64.58,62.94,64.94,0.6999999999999993
sample_10_off_topic_q02,sample_10,Did the patient mention owning a specific pet?,off_topic,0,1,0,,,0.0,1.21,
sample_10_off_topic_q01,sample_10,Was any problem with housing discussed?,off_topic,0,0,1,,,0.0,1.21,
sample_10_hard_no_q05,sample_10,Is the stomach acid medication being discontinued?,hard_negative,0,0,1,,,14.969999999999999,16.97,
sample_10_hard_no_q03,sample_10,Were abnormal sounds heard over the lungs?,hard_negative,0,0,1,,,53.540000000000006,57.08,
sample_10_yes_q02,sample_10,Were the lungs and heart normal on auscultation?,positive,1,1,1,53.76,57.56,53.540000000000006,56.08,0.5771144278606971
sample_10_yes_q03,sample_10,"Are the patient's complaints unchanged, with nothing new reported?",positive,1,1,1,22.2,23.56,19.2,23.740000000000002,0.2995594713656385
sample_10_hard_no_q02,sample_10,Does the plan include a referral to a lung specialist?,hard_negative,0,0,1,,,52.99,54.99,
sample_17_yes_q03,sample_17,Is the medicine to be taken after a meal?,positive,1,1,1,46.1,47.52,46.04,48.04,0.7100000000000009
sample_17_hard_no_q06,sample_17,Has the patient been told that the condition needs no treatment?,hard_negative,0,0,1,,,37.260000000000005,40.199999999999996,
sample_17_yes_q02,sample_17,Should the daily dose be 100 mg?,positive,1,1,1,42.84,44.42,42.120000000000005,44.58,0.6422764227642286
sample_17_hard_no_q05,sample_17,Were bacteria identified in the sample?,hard_negative,0,0,1,,,0.0,1.2,
sample_17_hard_no_q03,sample_17,Did the swab come from the throat?,hard_negative,0,0,1,,,20.96,22.96,
sample_17_hard_no_q02,sample_17,Was the prescribed dose 200 mg daily?,hard_negative,0,0,1,,,42.650000000000006,44.650000000000006,
sample_17_off_topic_q01,sample_17,Is there any mention of attending a concert?,off_topic,0,0,1,,,0.0,1.2,
sample_17_hard_no_q01,sample_17,"The treatment is planned to run for six weeks, right?",hard_negative,0,0,1,,,39.53,45.53,
sample_17_hard_no_q04,sample_17,Should the tablets be taken on an empty stomach?,hard_negative,0,0,1,,,41.42,47.4,
sample_17_yes_q01,sample_17,Will the treatment last two weeks?,positive,1,1,1,48.18,50.7,39.53,45.53,0.0
sample_18_yes_q04,sample_18,Should kidney function be monitored?,positive,1,1,1,41.82,45.58,41.980000000000004,45.559999999999995,0.9521276595744662
sample_18_off_topic_q01,sample_18,Is there any reference to the patient planning a specific fitness challenge?,off_topic,0,0,1,,,69.06,74.96,
